component,powertrain,size,euro_class,value
Non-methane hydrocarbon,ICEV-d,18m,0,0.032268459
Non-methane hydrocarbon,ICEV-d,13m-city-double,0,0.032268459
Hydrocarbon,ICEV-d,13m-city-double,0,0.033061946
Hydrocarbon,ICEV-d,18m,0,0.033061946
Particulate matters 2.5,ICEV-d,13m-coach,5,0.033618409
Non-methane hydrocarbon,ICEV-g,13m-city-double,2,0.034045007
Non-methane hydrocarbon,ICEV-g,18m,2,0.034045007
Carbon monoxide,ICEV-d,13m-city,1,0.035143419
Carbon monoxide,ICEV-d,9m,1,0.035143419
Dinitrogen oxide,ICEV-d,13m-coach,6,0.0363838
Dinitrogen oxide,ICEV-d,13m-coach-double,6,0.0363838
Non-methane hydrocarbon,ICEV-g,13m-coach,3,0.036398072
Dinitrogen oxide,ICEV-d,13m-coach,5,0.037825439
Dinitrogen oxide,ICEV-d,13m-coach-double,5,0.037825439
Non-methane hydrocarbon,ICEV-g,13m-coach-double,3,0.03991035
Non-methane hydrocarbon,ICEV-g,13m-coach,2,0.040245615
Particulate matters 2.5,ICEV-d,13m-coach-double,5,0.041640576
Nitrogen oxides,ICEV-d,13m-city,5,0.043474791
Nitrogen oxides,ICEV-d,9m,5,0.043474791
Non-methane hydrocarbon,ICEV-g,13m-coach-double,2,0.044906147
Carbon monoxide,ICEV-g,13m-city-double,6,0.045409837
Carbon monoxide,ICEV-g,18m,6,0.045409837
Carbon monoxide,ICEV-g,9m,6,0.045409837
Carbon monoxide,ICEV-g,13m-city,6,0.045409837
Methane,ICEV-g,9m,4,0.046227773
Methane,ICEV-g,13m-city,4,0.046227773
Non-methane hydrocarbon,ICEV-d,9m,0,0.048916625
Non-methane hydrocarbon,ICEV-d,13m-city,0,0.048916625
Particulate matters 2.5,ICEV-d,13m-coach,4,0.049959712
Particulate matters 2.5,ICEV-g,13m-coach,4,0.049982052
Hydrocarbon,ICEV-d,13m-city,0,0.050119494
Hydrocarbon,ICEV-d,9m,0,0.050119494
Hydrocarbon,ICEV-g,13m-city,4,0.050247575
Hydrocarbon,ICEV-g,9m,4,0.050247575
Carbon monoxide,ICEV-g,13m-city-double,5,0.052087485
Carbon monoxide,ICEV-g,18m,5,0.052087485
Carbon monoxide,ICEV-g,13m-city,5,0.052087488
Carbon monoxide,ICEV-g,9m,5,0.052087488
Nitrogen oxides,ICEV-d,18m,5,0.052221392
Nitrogen oxides,ICEV-d,13m-city-double,5,0.052221392
Methane,ICEV-g,18m,4,0.054101399
Methane,ICEV-g,13m-city-double,4,0.054101399
Particulate matters 2.5,ICEV-d,13m-coach-double,4,0.054426499
Particulate matters 2.5,ICEV-g,13m-coach-double,4,0.054450836
Hydrocarbon,ICEV-g,13m-city-double,4,0.058805866
Hydrocarbon,ICEV-g,18m,4,0.058805866
Nitrogen oxides,ICEV-d,13m-city,4,0.061479912
Nitrogen oxides,ICEV-d,9m,4,0.061479912
Nitrogen dioxide,ICEV-d,13m-coach,6,0.064984418
Non-methane hydrocarbon,ICEV-g,13m-coach,1,0.068829551
Nitrogen dioxide,ICEV-d,13m-coach-double,6,0.072293177
Nitrogen oxides,ICEV-d,13m-city-double,4,0.072442377
Nitrogen oxides,ICEV-d,18m,4,0.072442377
Non-methane hydrocarbon,ICEV-g,13m-coach-double,1,0.0770806
Nitrogen dioxide,ICEV-g,13m-coach,6,0.088582434
Nitrogen oxides,ICEV-g,13m-city,5,0.094725025
Nitrogen oxides,ICEV-g,9m,5,0.094725025
Nitrogen oxides,ICEV-g,18m,5,0.094725032
Nitrogen oxides,ICEV-g,13m-city-double,5,0.094725032
Carbon monoxide,ICEV-d,18m,0,0.096552333
Carbon monoxide,ICEV-d,13m-city-double,0,0.096552333
Nitrogen dioxide,ICEV-g,13m-coach-double,6,0.103163905
Carbon monoxide,ICEV-g,13m-city,4,0.10464252
Carbon monoxide,ICEV-g,9m,4,0.10464252
Carbon monoxide,ICEV-g,13m-city-double,4,0.108101542
Carbon monoxide,ICEV-g,18m,4,0.108101542
Carbon monoxide,ICEV-d,13m-coach-double,6,0.109746948
Carbon monoxide,ICEV-d,9m,0,0.123453401
Carbon monoxide,ICEV-d,13m-city,0,0.123453401
Methane,ICEV-g,13m-coach,6,0.13011834
Hydrocarbon,ICEV-g,13m-coach,6,0.141432971
Methane,ICEV-g,13m-coach-double,6,0.151537001
Nitrogen dioxide,ICEV-g,13m-city-double,4,0.15771492
Nitrogen dioxide,ICEV-g,18m,4,0.15771492
Nitrogen dioxide,ICEV-g,13m-city,4,0.161931196
Nitrogen dioxide,ICEV-g,9m,4,0.161931196
Carbon monoxide,ICEV-d,13m-coach,6,0.163017035
Hydrocarbon,ICEV-g,13m-coach-double,6,0.164714128
Carbon monoxide,ICEV-g,13m-city-double,2,0.173170226
Carbon monoxide,ICEV-g,18m,2,0.173170226
Particulate matters 2.5,ICEV-d,13m-coach,2,0.17998074
Particulate matters 2.5,ICEV-g,13m-coach,2,0.187757641
Nitrogen dioxide,ICEV-g,13m-city,3,0.190584952
Nitrogen dioxide,ICEV-g,9m,3,0.190584952
Nitrogen dioxide,ICEV-g,13m-city-double,3,0.192667878
Nitrogen dioxide,ICEV-g,18m,3,0.192667878
Carbon monoxide,ICEV-g,13m-city-double,3,0.193363755
Carbon monoxide,ICEV-g,18m,3,0.193363755
Methane,ICEV-g,13m-coach,4,0.200418219
Particulate matters 2.5,ICEV-d,13m-coach,3,0.202010006
Particulate matters 2.5,ICEV-g,13m-coach,3,0.204868734
Carbon monoxide,ICEV-g,13m-city,2,0.206866872
Carbon monoxide,ICEV-g,9m,2,0.206866872
Particulate matters 2.5,ICEV-d,13m-coach-double,2,0.206879184
Carbon monoxide,ICEV-g,13m-city,3,0.211065975
Carbon monoxide,ICEV-g,9m,3,0.211065975
Particulate matters 2.5,ICEV-g,13m-coach-double,2,0.21581836
Hydrocarbon,ICEV-g,13m-coach,4,0.217845887
Nitrogen dioxide,ICEV-g,9m,2,0.226313106
Nitrogen dioxide,ICEV-g,13m-city,2,0.226313106
Particulate matters 2.5,ICEV-d,13m-coach-double,3,0.226481259
Particulate matters 2.5,ICEV-g,13m-coach-double,3,0.22968629
Methane,ICEV-g,13m-coach-double,4,0.230302393
Nitrogen oxides,ICEV-d,9m,0,0.231275009
Nitrogen oxides,ICEV-d,13m-city,0,0.231275009
Nitrogen oxides,ICEV-d,13m-coach,6,0.232087195
Nitrogen dioxide,ICEV-g,18m,2,0.235746141
Nitrogen dioxide,ICEV-g,13m-city-double,2,0.235746141
Methane,ICEV-g,13m-city,3,0.242036001
Methane,ICEV-g,9m,3,0.242036001
Hydrocarbon,ICEV-g,13m-coach-double,4,0.25032869
Nitrogen oxides,ICEV-d,13m-coach-double,6,0.258189917
Hydrocarbon,ICEV-g,13m-city,3,0.263082593
Hydrocarbon,ICEV-g,9m,3,0.263082593
Nitrogen dioxide,ICEV-d,13m-coach,5,0.27049163
Methane,ICEV-g,13m-coach,5,0.271106571
Nitrogen dioxide,ICEV-g,13m-coach,5,0.283950478
Methane,ICEV-g,9m,2,0.29368092
Methane,ICEV-g,13m-city,2,0.29368092
Hydrocarbon,ICEV-g,13m-coach,5,0.294681042
Nitrogen oxides,ICEV-d,18m,0,0.297023716
Nitrogen oxides,ICEV-d,13m-city-double,0,0.297023716
Nitrogen dioxide,ICEV-d,13m-coach-double,5,0.310847938
Methane,ICEV-g,13m-coach-double,5,0.316371411
Nitrogen oxides,ICEV-d,9m,3,0.318308773
Nitrogen oxides,ICEV-d,13m-city,3,0.318308773
Hydrocarbon,ICEV-g,13m-city,2,0.319218382
Hydrocarbon,ICEV-g,9m,2,0.319218382
Nitrogen oxides,ICEV-d,18m,3,0.321787638
Nitrogen oxides,ICEV-d,13m-city-double,3,0.321787638
Methane,ICEV-g,13m-city-double,3,0.330429099
Methane,ICEV-g,18m,3,0.330429099
Nitrogen dioxide,ICEV-g,13m-coach-double,5,0.331359774
Hydrocarbon,ICEV-g,13m-coach-double,5,0.343881965
Nitrogen oxides,ICEV-d,9m,1,0.352808356
Nitrogen oxides,ICEV-d,13m-city,1,0.352808356
Nitrogen oxides,ICEV-g,13m-coach,6,0.354329735
Nitrogen dioxide,ICEV-d,13m-coach,4,0.358264506
Hydrocarbon,ICEV-g,13m-city-double,3,0.359162045
Hydrocarbon,ICEV-g,18m,3,0.359162045
Nitrogen oxides,ICEV-d,18m,1,0.364909367
Nitrogen oxides,ICEV-d,13m-city-double,1,0.364909367
Nitrogen oxides,ICEV-d,9m,2,0.37661469
Nitrogen oxides,ICEV-d,13m-city,2,0.37661469
Methane,ICEV-g,13m-city-double,2,0.391517607
Methane,ICEV-g,18m,2,0.391517607
Nitrogen oxides,ICEV-d,13m-city-double,2,0.392312521
Nitrogen oxides,ICEV-d,18m,2,0.392312521
Nitrogen oxides,ICEV-g,13m-coach-double,6,0.412655622
Nitrogen dioxide,ICEV-d,13m-coach-double,4,0.413641632
Methane,ICEV-g,13m-coach,3,0.41857785
Hydrocarbon,ICEV-g,18m,2,0.425562602
Hydrocarbon,ICEV-g,13m-city-double,2,0.425562602
Non-methane hydrocarbon,ICEV-d,13m-coach,3,0.428498685
Hydrocarbon,ICEV-d,13m-coach,3,0.439035535
Carbon monoxide,ICEV-g,13m-coach-double,4,0.449442059
Hydrocarbon,ICEV-g,13m-coach,3,0.454975903
Particulate matters 2.5,ICEV-d,13m-coach,1,0.456261158
Methane,ICEV-g,13m-coach-double,3,0.458969057
Non-methane hydrocarbon,ICEV-d,13m-coach,2,0.459396124
Methane,ICEV-g,13m-coach,2,0.462824583
Non-methane hydrocarbon,ICEV-d,13m-coach-double,3,0.469847232
Hydrocarbon,ICEV-d,13m-coach,2,0.470692754
Carbon monoxide,ICEV-g,13m-coach,4,0.472539425
Hydrocarbon,ICEV-d,13m-coach-double,3,0.481400847
Hydrocarbon,ICEV-g,13m-coach-double,3,0.498879403
Hydrocarbon,ICEV-g,13m-coach,2,0.503070176
Non-methane hydrocarbon,ICEV-d,13m-coach-double,2,0.512595236
Methane,ICEV-g,13m-coach-double,2,0.516420722
Particulate matters 2.5,ICEV-d,13m-coach-double,1,0.520888627
Particulate matters 2.5,ICEV-g,13m-coach,1,0.521555305
Hydrocarbon,ICEV-d,13m-coach-double,2,0.525200009
Carbon monoxide,ICEV-g,13m-coach,6,0.533761084
Nitrogen dioxide,ICEV-d,13m-coach,3,0.548041284
Hydrocarbon,ICEV-g,13m-coach-double,2,0.561326861
Particulate matters 2.5,ICEV-g,13m-coach-double,1,0.595431387
Carbon monoxide,ICEV-g,13m-coach-double,6,0.62162298
Carbon monoxide,ICEV-g,13m-coach,5,0.624555767
Nitrogen dioxide,ICEV-d,13m-coach-double,3,0.630575597
Nitrogen oxides,ICEV-g,18m,4,0.630859682
Nitrogen oxides,ICEV-g,13m-city-double,4,0.630859682
Nitrogen oxides,ICEV-g,9m,4,0.647724785
Nitrogen oxides,ICEV-g,13m-city,4,0.647724785
Nitrogen dioxide,ICEV-d,13m-coach,1,0.663842618
Nitrogen dioxide,ICEV-d,13m-coach,2,0.69433099
Carbon monoxide,ICEV-g,13m-coach-double,5,0.728833675
Non-methane hydrocarbon,ICEV-d,13m-coach,1,0.748681009
Nitrogen oxides,ICEV-g,9m,3,0.762339809
Nitrogen oxides,ICEV-g,13m-city,3,0.762339809
Hydrocarbon,ICEV-d,13m-coach,1,0.767091155
Nitrogen dioxide,ICEV-d,13m-coach-double,1,0.768938661
Nitrogen oxides,ICEV-g,18m,3,0.770671513
Nitrogen oxides,ICEV-g,13m-city-double,3,0.770671513
Nitrogen dioxide,ICEV-g,13m-coach,4,0.781254947
Methane,ICEV-g,13m-coach,1,0.791539848
Nitrogen dioxide,ICEV-d,13m-coach-double,2,0.798867464
Non-methane hydrocarbon,ICEV-d,13m-coach-double,1,0.838430345
Nitrogen dioxide,ICEV-g,13m-coach-double,4,0.849486709
Hydrocarbon,ICEV-d,13m-coach-double,1,0.859047472
Hydrocarbon,ICEV-g,13m-coach,1,0.860369384
Methane,ICEV-g,13m-coach-double,1,0.886426985
Carbon monoxide,ICEV-d,13m-coach-double,5,0.898884118
Nitrogen oxides,ICEV-g,13m-city,2,0.905252423
Nitrogen oxides,ICEV-g,9m,2,0.905252423
Nitrogen oxides,ICEV-g,13m-city-double,2,0.942984564
Nitrogen oxides,ICEV-g,18m,2,0.942984564
Carbon monoxide,ICEV-d,13m-coach,5,0.94507885
Hydrocarbon,ICEV-g,13m-coach-double,1,0.963507533
Nitrogen oxides,ICEV-g,13m-coach,5,1.135801911
Carbon monoxide,ICEV-d,13m-coach,4,1.193456411
Carbon monoxide,ICEV-d,13m-coach-double,4,1.296883345
Nitrogen oxides,ICEV-g,13m-coach-double,5,1.325439095
Carbon monoxide,ICEV-d,13m-coach,2,1.636188984
Carbon monoxide,ICEV-g,13m-coach,2,1.678317547
Carbon monoxide,ICEV-d,13m-coach-double,2,1.821611881
Carbon monoxide,ICEV-g,13m-coach-double,2,1.868514657
Nitrogen dioxide,ICEV-g,13m-coach,3,1.986096382
Carbon monoxide,ICEV-d,13m-coach,3,2.019206762
Carbon monoxide,ICEV-g,13m-coach,3,2.056438208
Carbon monoxide,ICEV-d,13m-coach,1,2.192087889
Carbon monoxide,ICEV-d,13m-coach-double,3,2.257223129
Carbon monoxide,ICEV-g,13m-coach,1,2.284344673
Nitrogen dioxide,ICEV-g,13m-coach-double,3,2.285199881
Carbon monoxide,ICEV-g,13m-coach-double,3,2.298843145
Nitrogen dioxide,ICEV-g,13m-coach,1,2.467188358
Carbon monoxide,ICEV-d,13m-coach-double,1,2.481357098
Nitrogen dioxide,ICEV-g,13m-coach,2,2.525375843
Carbon monoxide,ICEV-g,13m-coach-double,1,2.58578825
Nitrogen dioxide,ICEV-g,13m-coach-double,1,2.857780695
Nitrogen dioxide,ICEV-g,13m-coach-double,2,2.905589104
Nitrogen oxides,ICEV-g,13m-coach,4,3.125019789
Nitrogen oxides,ICEV-g,13m-coach-double,4,3.397946835
Nitrogen oxides,ICEV-d,13m-coach,5,3.86416626
Nitrogen oxides,ICEV-d,13m-coach-double,5,4.440684795
Nitrogen oxides,ICEV-d,13m-coach,4,5.118064404
Nitrogen oxides,ICEV-d,13m-coach-double,4,5.909165859
Nitrogen oxides,ICEV-d,13m-coach,3,7.829161167
Nitrogen oxides,ICEV-g,13m-coach,3,7.944385529
Nitrogen oxides,ICEV-d,13m-coach-double,3,9.008223534
Nitrogen oxides,ICEV-g,13m-coach-double,3,9.140799522
Nitrogen oxides,ICEV-d,13m-coach,1,9.483465195
Nitrogen oxides,ICEV-g,13m-coach,1,9.868753433
Nitrogen oxides,ICEV-d,13m-coach,2,9.919013977
Nitrogen oxides,ICEV-g,13m-coach,2,10.10150337
Nitrogen oxides,ICEV-d,13m-coach-double,1,10.98483849
Nitrogen oxides,ICEV-d,13m-coach-double,2,11.41239166
Nitrogen oxides,ICEV-g,13m-coach-double,1,11.43112278
Nitrogen oxides,ICEV-g,13m-coach-double,2,11.62235641
